"A","B"
7.25671664120901,8.26117085836168
3.81310014464597,4.33530140682759
4.29344335083107,5.15655011917653
2.77507722470635,4.02257946505868
4.22396303866428,5.61438617146943
4.01092992298953,4.80200219056286
9.17252469552678,10.0271471261605
4.64167884656414,5.07198604860529
3.31084050829616,4.52231492810045
2.82201321766392,3.57987576903456
6.51368465579535,7.66048374215561
6.39475903821762,7.50520017695266
6.42542485019569,6.91270924324547
5.57208545970622,6.59937239553671
6.21289060378828,7.15460003304676
3.41372170683587,4.55652458092788
4.07604531425727,5.31449366168794
7.9983980365368,9.18488623698152
7.82271417887951,8.49613404396059
5.21092950752324,5.73451021443441
5.32999352535915,6.18121557294142
3.77240381080987,5.35050476522515
2.40001552429921,3.53987448284342
3.29792531634395,4.32621565282991
5.36166688228485,5.96898306684096
5.9583018931303,6.77388121133892
6.29947524225719,7.08405793631829
4.04910462498532,4.58178719025903
3.97267492789057,4.32715798610103
3.14702891072925,4.02968005560074
5.727396568083,6.18900112485027
4.42704139954411,5.25313697105274
4.93979532629427,5.74819331275475
4.09321617749735,4.87575856032996
5.19713659325185,5.74006087259891
3.1798596259057,3.75687134082796
5.31099914703658,5.8676686081118
3.7030683881666,4.70634387061628
5.20004733854997,6.67863297199923
4.82457944224341,5.85446866121827
